date,open,high,low,close,volume,Name
2017-06-16,996.0,999.75,982.0,987.71,11472662,AMZN
2017-05-31,996.21,999.6,981.68,987.09,1724095,GOOGL
2017-08-03,999.47,999.5,984.59,986.92,3255764,AMZN
2017-07-10,985.0,999.4392,983.5,996.47,3546268,AMZN
2017-05-25,984.85,999.0,982.11,993.38,4822032,AMZN
2017-06-01,998.59,998.99,991.37,995.95,2454841,AMZN
2017-06-27,990.69,998.8,976.0,976.78,3782389,AMZN
2017-07-20,997.0,998.68,984.62,992.19,1418385,GOOGL
2017-05-26,995.0,998.65,989.2491,995.78,3469154,AMZN
2017-09-14,996.8,998.56,987.74,992.21,3913263,AMZN
